latitude,count
38.26351,11555
38.267085,7318
32.778889,6197
38.261792,6059
38.26339,6046
36.524722,5676
34.006389,5232
40.008889,4514
40.158417,4426
35.802321,4287
39.978611,4064
34.06659,4042
38.271754,3750
32.739852,3726
33.99958,3521
37.65214,3464
37.485387,3418
38.26216,3329
37.624064,3309
38.268254,3235
32.737631,3160
32.737909,3130
33.82376,3029
39.760869,2940
40.157952,2853
31.790479,2737
41.46107,2731
46.588889,2730
41.263887,2708
38.694438,2702
44.833299,2698
33.94603,2609
27.960148,2588
37.472177,2505
40.377222,2502
41.687165,2471
34.838814,2458
34.007398,2446
34.10374,2349
34.093959,2349
36.528056,2329
37.651843,2328
36.525556,2308
32.882289,2301
35.983056,2286
40.380844,2284
42.306674,2271
41.639306,2255
38.25872,2218
40.685019,2210
40.3789,2207
37.950741,2179
32.67618,2156
33.142336,2110
40.472327,2075
33.144662,2070
39.795995,2058
41.258887,2047
46.72938,2032
34.106678,2019
39.698008,1982
37.339666,1977
32.791194,1968
38.286214,1884
31.757654,1880
41.592517,1873
40.499767,1856
46.589345,1815
41.965485,1773
41.87372,1763
38.649771,1758
41.446342,1752
33.147414,1749
44.83431,1746
36.126945,1734
34.008333,1733
41.57588,1731
39.835556,1728
40.708611,1722
29.767997,1702
37.765946,1697
41.258609,1655
40.381122,1648
41.25425,1646
34.939786,1641
31.776944,1630
40.3814,1613
33.92899,1610
41.872202,1604
38.612034,1603
39.944651,1599
38.029258,1594
34.963013,1592
37.535833,1586
40.396736,1582
40.476667,1581
41.45869,1572
37.51066,1571
41.670992,1571
38.241155,1545
38.860669,1505
44.981076,1504
39.396075,1503
40.639509,1499
41.4823,1493
34.024497,1491
36.176723,1490
37.949924,1490
37.510622,1486
37.459234,1483
27.96483,1481
40.803056,1470
38.864279,1466
40.57158,1427
30.040961,1423
40.697007,1416
37.470615,1410
34.01407,1409
42.302786,1382
44.76323,1353
38.417036,1346
39.751184,1341
34.16416,1335
33.785602,1325
45.496641,1325
38.261999,1320
36.52443,1318
47.543056,1318
37.936013,1307
42.348873,1303
47.523355,1288
33.362014,1274
40.385981,1274
35.356615,1272
32.744981,1272
36.985702,1252
39.9825,1249
30.320507,1245
40.400624,1244
39.43147,1238
25.892518,1232
37.466894,1230
38.556326,1222
41.782766,1221
43.039871,1216
41.85577,1196
38.264888,1192
39.758925,1189
18.449814,1188
42.098983,1185
31.763076,1183
38.776473,1180
38.419805,1164
33.901389,1160
34.17605,1156
44.96133,1150
31.899722,1146
33.002517,1144
40.443367,1141
46.594345,1141
41.46964,1140
35.799543,1133
44.95366,1127
39.28777,1124
33.79236,1112
39.718655,1110
34.276316,1107
41.270276,1107
38.656429,1104
27.517456,1104
33.702771,1101
45.03972,1101
44.97944,1099
30.356339,1098
39.095314,1090
39.999722,1090
33.432534,1086
40.478319,1078
32.709224,1074
39.312051,1072
37.316609,1070
33.821353,1069
34.1675,1066
37.651114,1066
38.783724,1061
33.347903,1057
34.15567,1047
31.803996,1045
39.247768,1042
42.22862,1040
44.876076,1040
37.645619,1038
37.652841,1036
38.77335,1032
38.366183,1026
40.474176,1017
40.027222,1016
34.165204,1012
36.204902,1012
40.0725,1010
40.341467,1009
33.92288,1009
31.79594,1008
39.087949,1007
42.3295,1007
33.45797,1000
34.870243,1000
35.374959,998
34.01029,996
40.476676,995
33.95507,993
40.477231,993
41.247486,992
38.828042,990
32.779852,990
39.775876,988
33.991509,988
38.609905,987
46.580179,987
32.770278,985
40.455009,983
41.258879,975
39.074722,970
37.747085,970
33.922369,969
40.114876,968
30.491857,968
30.500642,967
43.659804,964
39.501473,961
38.243055,959
43.744451,957
42.959749,955
29.415511,955
34.179381,953
42.913638,953
39.250353,949
40.73277,949
33.798434,948
40.403056,947
32.865,945
39.739444,945
37.708902,944
41.252777,942
41.473092,942
32.759722,940
37.289616,940
34.947726,939
41.965193,937
37.814191,937
39.99,936
40.758333,935
33.145,932
41.526885,929
41.477011,928
25.865652,927
46.588267,924
38.260694,921
41.65274,920
39.11306,917
40.673656,917
33.698643,915
36.9846,915
39.348452,915
38.521718,914
33.969004,911
39.859481,910
35.978074,909
32.919722,907
21.30758,903
35.477036,900
38.964722,896
32.631242,896
39.827594,891
37.659334,891
37.677236,888
43.242515,886
42.139996,885
32.518947,884
38.310942,882
41.514478,878
37.97231,878
42.267242,878
37.482934,876
33.68449,875
35.98104,874
40.348056,873
35.0875,873
38.667126,872
38.102507,871
36.841883,870
33.373994,869
41.596976,869
40.346686,868
32.785359,867
33.130897,863
39.810833,863
41.650314,860
34.1365,860
47.580654,858
40.631545,856
38.704534,855
35.184167,855
42.937836,851
41.25861,846
40.755278,845
42.372122,844
32.695278,842
32.27229,841
33.954952,838
45.02798,835
40.161777,835
32.941023,835
39.922867,835
43.047224,835
39.053889,833
32.267925,830
33.466154,829
25.766489,828
32.775686,827
26.291088,824
31.768286,824
39.277778,819
39.623971,819
36.78538,817
35.479503,815
40.814204,815
39.704005,815
34.860387,811
34.829396,807
39.115832,803
32.727273,803
40.635275,801
40.725413,801
39.976389,800
32.774262,797
29.955704,796
34.02637,796
35.801766,793
42.267231,793
35.39534,793
34.197944,790
40.93149,789
30.036422,789
39.465655,788
40.69,787
37.736349,784
32.844606,784
38.443503,783
41.698924,780
37.41222,780
43.099943,779
37.6849,779
39.787821,776
38.74232,773
32.4297,772
34.937784,766
35.614131,766
40.382789,764
35.049535,763
26.010924,756
44.79886,755
36.725228,754
44.95939,753
32.4344,751
27.970328,750
29.775833,749
29.398611,749
40.772793,747
39.788099,744
18.457039,744
39.682891,742
42.931169,737
37.348497,737
27.8928,735
39.038616,734
37.564915,734
40.46542,732
37.468956,727
40.717602,726
32.783765,724
38.351208,720
33.534826,720
41.600314,720
37.55652,718
41.965283,718
21.318779,718
35.383014,718
39.12886,716
42.10065,715
21.323745,714
40.634688,714
32.736242,713
32.875572,710
38.995943,709
35.087869,702
42.984173,698
40.837878,695
33.529444,693
44.966077,692
44.77553,691
44.85711,690
33.377165,688
42.656468,686
33.530937,685
39.000834,684
40.477075,683
40.638936,683
18.453389,682
32.4362,679
37.771964,678
40.392922,675
40.64182,675
29.834444,675
38.795327,671
39.977778,670
44.73846,670
45.001229,664
27.793082,662
42.982093,660
43.677994,658
41.424819,658
33.419017,658
35.043702,655
44.834688,654
32.774019,653
33.136025,653
41.603582,652
35.759954,652
43.035014,652
40.860031,644
38.74643,642
39.715322,640
40.049604,635
37.738458,634
35.08648,632
41.653501,632
32.434882,631
37.75493,630
41.3014,629
36.205055,627
43.143396,625
41.832322,624
41.7826,622
41.615237,622
39.075283,622
39.36095,618
40.3839,618
40.377789,618
36.176382,617
33.81468,613
40.323768,612
40.343674,609
40.57665,608
39.985278,603
39.314167,603
34.939532,601
40.59664,600
39.71451,594
29.995759,594
33.539167,591
39.968169,591
36.152279,590
45.13768,589
37.676308,587
43.451414,586
36.327273,585
40.363016,584
40.468336,583
39.139999,581
39.963333,581
36.16282,578
36.175613,578
40.343693,577
32.385731,576
39.49072,572
40.108944,571
36.165889,571
33.553056,570
40.063903,569
31.86247,569
40.161134,569
39.571669,568
29.856667,566
36.137866,564
30.593978,562
41.635181,561
42.43084,560
37.489726,557
40.720989,555
35.10728,554
18.425652,553
33.139008,551
38.791993,550
36.100059,550
36.252554,550
27.875833,544
39.94418,543
41.907811,542
40.263056,541
28.507503,541
37.329841,540
36.143301,540
41.212236,540
36.853481,540
32.731919,536
43.496473,536
33.545661,536
39.413598,534
31.560752,533
34.758425,533
39.332885,529
38.424133,529
29.504722,527
33.405323,527
41.820933,525
28.596389,525
40.41368,524
40.80032,524
33.0035,521
38.245379,521
40.4663,521
33.370549,521
39.324769,512
39.151393,510
42.29504,509
33.367807,509
46.680655,508
43.025027,507
35.1433,505
34.419997,503
41.896977,503
39.794986,502
43.10172,502
18.401892,501
47.536389,501
38.3456,499
38.893723,497
34.503778,496
41.658647,496
43.492028,494
40.076944,494
39.290645,493
44.965242,486
34.756189,486
38.924001,485
40.046667,485
21.392833,483
40.74316,483
41.697813,482
36.535934,480
40.375644,477
41.24222,475
39.92845,474
41.8226,471
41.674278,469
47.534644,468
35.1343,468
36.781333,468
36.053117,468
47.66982,466
41.348869,466
46.807468,465
40.416736,464
42.260102,463
38.890326,462
33.817902,462
41.94753,462
38.95726,461
41.773921,461
42.634813,461
35.770234,460
37.18494,460
39.757891,460
32.820061,459
36.697181,459
39.862576,459
39.563042,458
35.863406,458
36.218666,455
39.249812,454
39.146393,452
45.230123,450
34.141946,450
41.901419,450
40.7997,449
37.971727,448
36.9858,447
29.733726,447
43.050457,445
38.006311,444
34.421386,443
31.893913,443
32.06848,443
38.613779,441
39.812335,441
41.525077,441
37.203607,441
41.64906,441
38.324266,438
35.280273,437
35.624678,437
34.949422,435
35.633303,435
31.513097,435
43.600699,434
45.012102,433
41.550556,433
36.119819,432
40.460138,431
39.757371,430
41.780032,430
46.587957,430
32.805264,429
41.834276,429
47.700098,428
41.172787,428
38.000479,426
43.489806,424
43.511751,424
27.963355,424
32.833056,422
41.629433,421
42.292231,421
33.984969,420
38.296054,418
36.160278,417
38.277014,416
38.799216,414
37.534735,413
33.85275,412
41.652813,411
30.593966,411
39.055277,408
40.467787,407
40.738713,407
29.993519,406
38.695328,405
33.627244,405
39.649367,405
34.167636,405
33.535937,404
41.586386,404
36.15483,403
46.125172,402
33.927794,401
38.343987,400
32.343396,399
40.345053,399
41.635952,399
34.2431,398
33.795849,397
40.720102,397
40.652511,396
36.800426,395
33.503833,395
46.877761,393
34.712206,390
33.9285,390
41.42585,389
40.6119,388
47.568236,387
40.402328,386
39.862928,386
41.641361,384
42.120561,383
33.47968,383
42.29476,383
45.008297,380
43.618889,379
39.75567,378
34.89398,377
40.372013,376
41.67948,375
38.69206,375
44.310555,375
46.77107,374
40.547011,374
39.948724,374
38.021033,372
40.059828,372
35.479215,372
40.438402,371
47.299821,371
40.422847,370
29.530278,370
34.883731,368
38.64116,368
39.445723,367
35.312186,366
44.73857,363
34.879311,362
34.19925,362
39.060838,362
34.06668,362
41.841039,360
36.84487,359
40.552787,359
32.598611,357
27.785866,356
33.397555,356
42.742813,356
33.92513,355
61.215837,355
33.57453,355
33.752625,354
41.688924,354
34.376227,354
40.375069,353
40.71961,353
32.29515,351
32.4842,351
31.746775,350
41.685868,350
18.447168,350
41.915865,350
47.509094,349
30.609076,349
40.610899,349
40.6175,348
32.525058,348
39.142504,346
39.915961,346
37.694181,346
40.343296,345
32.629225,344
40.287848,343
38.593661,340
42.002532,340
39.927613,339
32.8325,339
34.523329,339
35.868889,338
43.08218,338
39.826007,338
40.034719,337
41.685591,337
41.738091,337
41.746701,337
32.80581,337
32.498392,335
41.892809,335
42.712813,334
40.350833,334
32.382036,333
32.793389,333
34.10002,333
40.402544,333
39.88294,333
41.755832,333
34.582386,332
38.708726,332
37.510703,332
37.27494,331
45.542618,331
42.081694,330
35.110046,329
32.921667,329
32.329111,328
41.605312,327
35.283864,327
41.716702,327
33.7094,327
41.605868,326
45.521507,326
33.56031,326
29.519119,326
42.261669,325
31.365556,324
40.553124,324
42.535035,323
41.761489,322
41.248056,322
41.689756,322
34.747592,321
33.930292,320
39.0327,320
33.006179,320
36.013567,320
34.278058,319
31.792969,319
32.462362,319
41.816976,318
42.039193,317
41.859754,317
39.989036,317
35.841111,315
34.051017,314
35.085647,313
42.278097,313
46.557679,313
36.075833,313
40.61572,312
41.569203,311
34.070724,310
34.107512,309
32.204411,309
37.864911,309
27.947799,308
35.434679,308
32.836461,306
41.442832,306
42.16893,306
40.697538,306
41.662109,305
42.494757,304
33.545278,302
38.699565,301
38.921847,301
33.010278,300
34.058345,298
31.548056,297
40.740101,296
31.794722,296
41.450094,296
40.217887,296
38.22876,295
41.046437,295
34.679827,294
34.420552,294
44.087573,294
39.928531,294
39.053333,294
40.61891,293
31.807778,292
45.013611,292
33.41018,291
29.670025,290
41.633369,289
44.316179,289
18.43204,289
34.249346,288
33.91593,288
39.77949,288
40.1389,287
34.07001,286
34.504293,286
18.421335,286
37.322998,285
34.263312,285
40.439236,284
28.001687,284
39.988842,284
41.979476,284
41.180375,283
38.807613,283
31.785,283
31.760538,283
41.616618,281
32.733889,279
35.916761,279
35.048424,277
29.751111,276
39.741376,276
41.492117,275
32.3525,274
31.785769,273
41.219167,273
37.819565,273
41.05343,273
31.766667,273
40.786804,272
40.75623,272
31.95,271
43.085889,271
40.646667,271
33.134444,270
31.872347,270
29.713056,270
42.938638,270
26.206464,270
29.828086,269
32.764722,269
36.141875,269
33.590851,269
40.404512,268
41.559539,268
39.572756,268
32.881347,267
35.151699,267
31.678611,267
30.43492,267
39.979722,267
29.39,266
44.089406,265
33.741253,265
38.9326,265
29.801389,265
40.253611,265
39.76168,264
41.573647,264
45.564637,264
35.856111,263
42.953336,263
29.625556,263
37.069444,263
25.91258,262
42.862531,262
27.737778,262
42.095026,262
31.844167,261
34.093979,261
27.777222,260
41.514757,259
45.198083,258
40.95517,258
38.704217,258
44.945799,257
44.097573,257
29.623889,257
39.117219,257
35.2401,257
32.724444,256
40.48618,256
45.004478,256
29.901036,256
45.034847,256
32.615335,255
29.740833,254
33.539548,253
39.80282,253
44.94805,252
36.080539,252
34.23666,251
32.223687,251
40.81329,251
41.166943,250
64.840672,249
37.648819,249
40.38335,249
35.873152,249
39.771154,248
37.641597,248
32.480153,247
40.487012,245
40.590937,245
37.727829,245
47.55975,244
33.429444,244
34.1326,244
47.253432,243
41.255277,242
34.728831,241
31.773333,241
31.7875,241
42.321495,241
40.441179,241
40.441736,240
39.8969,239
35.044518,238
18.014281,238
35.991944,238
47.349821,238
41.318986,238
27.892523,237
41.099892,237
43.072218,237
29.802707,236
36.292941,236
39.104765,236
27.96565,236
30.097156,235
27.796667,235
29.664376,235
29.909444,234
43.016958,234
40.562633,233
30.058546,233
30.3125,233
40.736389,233
32.659224,232
40.362291,232
38.19113,232
35.212778,232
33.78942,232
26.083143,232
27.971688,231
30.265278,231
42.038918,231
34.513601,231
39.813947,231
39.957564,230
38.903723,230
34.2993,229
29.760784,228
39.918131,228
32.789565,227
36.84987,227
41.583878,227
40.653703,226
39.958724,226
41.079486,226
40.847505,225
41.471782,225
44.84621,225
43.161062,225
26.294167,225
27.784749,225
37.027647,224
35.085924,224
41.618092,223
36.9716,223
42.155833,222
41.788383,222
29.94826,221
32.247298,221
34.054456,221
40.722046,220
32.57089,220
42.240867,220
41.070048,219
32.57816,219
27.824722,219
46.164926,219
41.672531,219
40.79736,219
39.083393,218
39.76367,218
39.989167,218
64.842625,218
39.995946,217
43.188137,216
33.499722,216
47.918041,214
36.099304,214
43.199229,214
47.523432,214
38.371749,214
41.523643,213
41.104223,213
43.09892,212
34.011208,212
37.273994,211
18.420089,210
39.243997,210
31.735857,210
32.633671,210
40.751213,209
34.25239,209
43.609471,208
35.222087,207
35.085879,207
40.029719,207
45.136657,207
40.47368,206
34.744931,206
44.777199,206
42.312158,206
34.46245,205
42.105792,204
32.582562,204
32.231743,204
38.23889,204
32.692354,203
35.098657,203
37.318435,203
35.017139,202
41.293986,202
39.291218,202
41.648105,201
35.438035,201
41.504288,201
45.56137,201
31.349733,200
41.171944,200
43.051971,199
43.368605,199
38.243682,198
28.541669,198
42.329542,198
38.3315,197
39.003557,197
17.953006,197
40.918381,197
39.19433,196
41.476352,196
29.745833,196
30.461981,195
38.516748,194
35.437006,194
42.295824,194
19.496968,194
43.088112,192
36.928056,192
42.240565,192
38.800049,192
29.634167,192
42.312078,191
26.765063,191
38.889494,191
34.63782,191
39.526578,191
41.238332,190
41.633371,190
36.173581,190
29.733056,190
37.247778,189
39.991389,188
32.807072,188
29.776944,188
29.637778,187
44.996463,187
31.783333,187
42.357808,187
42.392041,187
29.720833,187
41.170833,187
46.004649,186
32.723333,186
39.895113,186
32.83388,186
29.71,186
39.703392,186
41.673381,185
29.725,185
32.783611,184
44.047896,184
41.767044,184
40.616455,183
29.697222,183
32.817978,182
30.705746,182
32.769297,182
30.016905,182
29.734444,182
41.884417,182
40.811669,181
34.21793,181
30.344118,181
34.2525,180
32.826265,180
40.341389,179
46.578234,178
26.208056,178
32.9682,178
41.107,178
38.53278,177
40.039444,177
41.80118,177
40.0877,176
39.135892,176
33.147619,176
28.050296,176
33.70853,176
40.055833,176
39.76567,175
40.352569,175
37.508162,175
44.925798,174
41.074492,174
32.6056,174
46.350208,174
37.457621,174
33.604486,174
43.200895,174
42.858114,173
42.662023,173
42.64225,173
33.503717,173
40.688889,173
41.429443,173
46.782718,173
46.75133,173
38.266392,172
40.324455,172
35.968734,172
31.679598,172
34.843895,171
44.52839,171
34.615367,171
32.75,171
