longitude,count
-155.913417,22728
-111.872222,19566
-90.198348,19549
-93.03587,19100
-75.558056,17330
-87.401312,17181
-78.574167,17173
-91.179219,17083
-121.268523,16818
-122.237976,15976
-77.18675,15801
-96.860117,15791
-76.604603,15768
-94.858584,15754
-84.2905,15719
-104.987625,15654
-100.76821,15572
-86.214628,15326
-93.643118,15117
-77.013178,15074
-119.77321,15009
-75.341111,14939
-111.713611,14860
-79.505667,14763
-86.114444,14749
-122.4517,14641
-71.36097,14626
-79.902222,14390
-114.021499,14287
-112.013089,14273
-106.5852,14200
-94.57079,14114
-86.8525,13980
-118.683685,13976
-71.412968,13961
-76.283333,13948
-95.973142,13846
-76.846988,13750
-155.480183,13730
-122.171529,13626
-155.778136,13498
-111.852199,13316
-117.41601,13278
-101.766944,13077
-80.420833,13006
-90.587611,12885
-122.308628,12845
-74.208365,12781
-77.877028,12718
-86.815,12702
-72.902871,12671
-80.316442,12647
-78.915,12580
-73.82153,12549
-91.68766,12540
-84.0998,12510
-79.960757,12502
-80.484779,12141
-105.343164,11975
-75.9686,11947
-95.976537,11941
-79.868062,11939
-155.11053,11928
-157.969126,11894
-75.623056,11836
-87.304943,11823
-77.30968,11772
-86.214722,11742
-117.871036,11741
-112.095767,11668
-90.263711,11639
-117.93845,11592
-76.699444,11590
-76.878333,11479
-157.85542,11449
-81.468956,11448
-85.101816,11412
-75.3725,11259
-111.931,11259
-87.199167,11206
-73.902,11205
-71.0543,11143
-80.038611,11079
-75.864771,10989
-112.14256,10975
-122.399044,10885
-71.72,10864
-81.365556,10832
-119.807717,10796
-72.631667,10791
-92.281296,10784
-96.85535,10702
-149.824602,10621
-110.9823,10620
-75.768242,10609
-72.272332,10608
-74.052293,10606
-122.026154,10602
-119.716433,10550
-158.088613,10505
-77.20978,10426
-77.106876,10423
-118.17533,10360
-134.567237,10357
-86.504762,10348
-82.2304,10312
-75.309167,10261
-82.414585,10230
-121.623271,10207
-94.377014,10195
-96.700769,10195
-101.941218,10186
-112.501247,10170
-103.273777,10158
-87.577222,10147
-117.32554,10147
-106.455227,10117
-121.894898,10116
-122.20337,10113
-120.994212,10090
-83.442133,10044
-114.158889,10014
-103.48386,9946
-86.7389,9940
-122.338265,9918
-115.11393,9910
-156.446373,9875
-91.503478,9808
-94.57983,9758
-92.450366,9697
-93.25821,9669
-95.956103,9668
-72.309499,9662
-81.3625,9659
-97.475083,9655
-94.03474,9655
-117.09023,9618
-157.871171,9602
-85.629292,9584
-118.870509,9580
-123.20655,9571
-76.958072,9550
-77.720244,9550
-104.778334,9478
-97.431553,9478
-109.87076,9455
-121.784217,9444
-120.499167,9425
-80.785683,9370
-121.98822,9357
-82.739875,9320
-120.836008,9310
-80.215556,9299
-95.78441,9276
-73.75464,9262
-115.553309,9253
-70.748017,9246
-80.224501,9236
-122.169935,9212
-85.81566,9211
-90.350313,9203
-115.078742,9165
-111.987164,9161
-77.10468,9160
-112.07526,9145
-96.707208,9142
-71.0826,9127
-81.15495,9124
-93.207615,9120
-90.395904,9119
-121.574684,9091
-118.22688,9088
-87.99344,9051
-77.40027,9015
-94.13345,9000
-120.56388,8996
-76.296946,8979
-88.39509,8930
-121.164457,8919
-85.652184,8918
-71.878626,8912
-85.968446,8899
-149.031655,8895
-119.143182,8892
-90.189868,8863
-116.236667,8796
-114.224273,8788
-120.680277,8782
-80.261389,8766
-121.6031,8760
-121.3621,8759
-95.257593,8755
-103.2995,8712
-122.520004,8688
-85.832974,8672
-110.936718,8663
-85.65452,8653
-73.043611,8645
-79.56475,8639
-93.23725,8603
-111.975524,8512
-111.884467,8500
-120.382331,8492
-120.433671,8484
-119.062613,8484
-84.50404,8429
-120.034203,8427
-118.80998,8422
-112.11821,8413
-80.06501,8407
-102.4018,8398
-83.2082,8387
-155.102028,8370
-75.5568,8365
-119.643447,8359
-79.802314,8353
-76.05921,8338
-120.435611,8295
-122.230278,8288
-88.996896,8263
-105.370283,8256
-85.293019,8231
-72.982778,8228
-115.357087,8209
-95.128508,8180
-97.128802,8132
-73.194722,8105
-108.761389,8096
-75.797317,8082
-79.012,8061
-120.58777,8048
-78.370833,7990
-106.48982,7988
-106.65739,7965
-71.10229,7929
-111.8375,7885
-115.48307,7882
-70.970816,7878
-92.165998,7869
-75.142614,7868
-91.213556,7856
-121.09959,7851
-72.86884,7843
-80.6158,7839
-71.38014,7837
-121.247874,7808
-108.561173,7796
-101.428056,7777
-123.35264,7771
-71.794322,7763
-85.89804,7753
-79.836636,7719
-95.81789,7713
-117.088649,7708
-116.830074,7693
-80.2627,7688
-77.54817,7674
-92.536305,7649
-76.1124,7618
-118.147294,7603
-112.19193,7598
-75.186921,7590
-82.5844,7560
-77.838611,7537
-75.6106,7535
-76.383447,7526
-68.2609,7519
-114.189272,7516
-81.678449,7513
-81.633981,7493
-110.009732,7479
-89.67979,7470
-119.746761,7462
-111.663056,7440
-79.958694,7414
-111.86536,7412
-159.36624,7397
-112.06619,7376
-71.169235,7353
-122.3167,7348
-71.423705,7322
-149.569707,7320
-118.18921,7319
-87.93369,7298
-119.2313,7295
-82.53532,7259
-121.618549,7256
-119.691218,7248
-74.882222,7244
-86.924167,7226
-121.73333,7220
-121.126371,7201
-75.080833,7179
-71.056061,7166
-111.752222,7143
-83.068473,7121
-84.36625,7110
-72.555112,7110
-84.478974,7105
-112.036298,7077
-119.56565,6987
-97.08135,6985
-86.653137,6981
-70.268965,6961
-122.627397,6957
-122.281803,6944
-111.660502,6920
-119.7661,6889
-90.272826,6851
-117.61722,6842
-87.913504,6822
-78.953112,6817
-105.079693,6813
-76.141006,6806
-112.018863,6787
-83.344385,6785
-149.10622,6765
-109.455315,6762
-91.067957,6756
-120.6693,6734
-111.038389,6730
-111.93471,6706
-121.368014,6684
-74.170447,6673
-88.37251,6666
-87.8093,6648
-122.356811,6625
-107.862471,6624
-97.356529,6613
-88.21507,6597
-70.214219,6591
-98.42879,6581
-115.052942,6574
-94.635605,6573
-122.282347,6550
-105.0153,6549
-114.61444,6543
-85.671339,6526
-73.2106,6508
-118.200707,6494
-90.28115,6466
-122.46256,6453
-73.24984,6451
-81.547778,6450
-97.484099,6429
-112.353414,6413
-93.66921,6410
-75.165206,6394
-94.1303,6393
-112.455813,6387
-89.4358,6364
-103.37853,6364
-73.443056,6362
-81.682383,6316
-95.846272,6303
-91.495574,6300
-87.799227,6299
-94.450513,6275
-80.233889,6272
-104.70693,6264
-85.939546,6257
-76.633543,6195
-105.00518,6187
-75.4325,6186
-83.950666,6180
-85.852629,6171
-119.732507,6164
-78.904037,6163
-68.321106,6133
-93.909018,6096
-86.109688,6087
-81.024141,6083
-84.343035,6073
-84.47445,6066
-122.480487,6061
-73.297257,6019
-97.314847,6010
-88.62111,6006
-104.485552,5975
-96.004975,5969
-74.763167,5958
-113.5586,5949
-76.181233,5932
-122.263376,5931
-93.254759,5920
-84.364207,5911
-72.07882,5856
-80.482778,5851
-91.2269,5838
-85.891332,5831
-122.818294,5824
-108.02611,5815
-80.256944,5805
-83.543493,5800
-68.016195,5797
-80.071337,5785
-106.578785,5777
-121.49311,5765
-122.61428,5735
-84.720524,5734
-107.549444,5728
-83.80949,5727
-81.877908,5725
-81.9239,5707
-117.4924,5707
-70.546319,5693
-119.8284,5683
-106.599715,5669
-74.192892,5658
-90.69813,5612
-75.067815,5600
-77.46925,5584
-76.84611,5563
-71.012129,5558
-86.148577,5547
-82.64041,5538
-89.2922,5521
-81.310556,5507
-122.319722,5497
-75.09778,5480
-81.972222,5479
-108.720003,5471
-121.849783,5465
-90.211982,5459
-105.100856,5448
-71.417457,5442
-83.8134,5433
-84.389708,5429
-113.305096,5423
-74.448736,5414
-98.931973,5408
-75.32328,5404
-106.768337,5403
-105.539763,5400
-82.507222,5394
-74.985166,5380
-89.35768,5379
-105.070358,5373
-86.13088,5369
-120.66804,5336
-83.599602,5336
-75.6036,5326
-121.731369,5316
-75.125219,5315
-81.373,5303
-84.198674,5301
-97.342332,5291
-82.0224,5291
-105.2133,5264
-82.521599,5262
-80.237586,5255
-88.80859,5255
-89.98778,5253
-119.77319,5251
-72.596689,5246
-112.03705,5240
-83.640996,5235
-83.87381,5197
-97.712891,5194
-88.53393,5188
-97.52709,5177
-95.029172,5168
-82.114261,5167
-104.828564,5146
-117.364852,5144
-90.177574,5143
-118.130511,5139
-122.083092,5133
-89.049778,5130
-86.21487,5110
-123.083737,5108
-109.539683,5104
-118.330783,5091
-113.890285,5059
-95.031232,5059
-83.5978,5058
-109.561472,5049
-93.285803,5036
-72.679923,5025
-86.967536,5016
-100.287269,5007
-96.807299,5003
-74.429439,4994
-103.63951,4993
-115.447769,4993
-80.666447,4987
-78.4622,4944
-120.4575,4936
-89.644164,4932
-115.122953,4924
-84.0691,4905
-72.334079,4901
-72.590803,4897
-83.10653,4892
-87.8102,4885
-120.66617,4874
-83.670159,4872
-90.5972,4871
-87.863225,4867
-84.542802,4867
-87.749928,4866
-120.545,4854
-92.77525,4841
-82.31307,4833
-111.089618,4821
-80.092778,4821
-81.606833,4797
-117.075086,4792
-89.788459,4790
-87.0096,4788
-89.382157,4772
-81.0525,4764
-75.413973,4763
-103.122917,4760
-76.939167,4759
-93.299894,4753
-122.58737,4751
-82.815585,4744
-92.08936,4742
-102.5273,4740
-76.387017,4724
-89.584737,4721
-94.746424,4711
-84.49761,4701
-66.11446,4692
-156.493626,4680
-88.190967,4668
-83.2377,4664
-92.78336,4660
-87.20355,4659
-78.50397,4656
-87.075307,4630
-92.511722,4629
-119.658339,4626
-87.475543,4622
-111.809167,4620
-76.953426,4609
-104.9886,4607
-80.341962,4605
-84.596195,4598
-81.924797,4592
-73.96618,4590
-84.279903,4589
-74.276174,4581
-79.863572,4560
-68.769675,4545
-93.284874,4543
-84.607423,4526
-76.474444,4524
-88.624943,4511
-83.942152,4498
-116.571281,4494
-111.987871,4487
-88.925594,4469
-88.152534,4466
-90.021537,4463
-85.54189,4462
-83.54616,4432
-93.512534,4417
-90.182722,4417
-75.732,4398
-98.291069,4388
-95.711275,4365
-117.92391,4357
-121.055608,4349
-82.26608,4326
-85.992647,4317
-82.062082,4313
-88.116474,4293
-81.621161,4273
-81.394153,4269
-116.21537,4263
-96.056686,4259
-84.55117,4232
-75.207205,4223
-77.05922,4199
-74.742613,4197
-89.69098,4186
-90.51735,4183
-122.25556,4169
-84.538375,4164
-97.337917,4162
-89.654,4156
-76.512726,4142
-73.93432,4140
-81.345347,4130
-111.96799,4122
-87.328041,4121
-84.999653,4119
-80.733858,4116
-79.467417,4102
-85.740111,4098
-74.806671,4096
-121.84047,4094
-85.492107,4094
-82.50954,4080
-80.26567,4080
-81.693717,4060
-91.41445,4056
-110.830833,4049
-90.65615,4023
-92.328697,4020
-80.169817,4016
-80.611813,4007
-77.18347,3991
-85.005028,3980
-89.395916,3961
-96.683314,3957
-97.366399,3956
-94.317802,3955
-97.462931,3943
-122.87923,3936
-96.747325,3935
-81.541532,3934
-122.710169,3929
-99.763424,3911
-122.44028,3898
-75.025204,3893
-86.873547,3880
-84.891865,3864
-73.214444,3853
-93.866944,3833
-117.67593,3830
-115.253333,3818
-101.571583,3814
-115.175654,3804
-122.296189,3796
-120.33266,3791
-80.628611,3789
-119.71877,3788
-119.04872,3788
-117.149653,3778
-82.806871,3777
-116.365203,3755
-85.3009,3746
-115.362234,3746
-119.51896,3746
-79.88452,3744
-83.925773,3740
-88.57251,3739
-122.302741,3723
-71.097163,3708
-106.955933,3708
-78.809526,3697
-82.005211,3687
-80.395039,3685
-83.890721,3680
-83.096033,3678
-120.944376,3674
-80.176389,3666
-87.93434,3655
-105.388566,3647
-87.495044,3635
-95.326137,3623
-84.0539,3621
-103.17781,3619
-106.07968,3612
-86.12202,3607
-71.496335,3581
-122.602877,3565
-122.586944,3560
-90.225667,3551
-68.772762,3550
-80.645278,3548
-87.638097,3546
-65.618888,3527
-82.98104,3525
-90.377212,3518
-83.64226,3505
-95.896124,3504
-78.8197,3497
-87.003611,3468
-86.263394,3464
-82.99344,3452
-87.442017,3444
-83.277928,3440
-82.91701,3437
-83.946559,3424
-82.456229,3409
-85.24293,3400
-111.894167,3399
-81.495035,3399
-95.220582,3395
-80.866983,3393
-118.31712,3392
-83.148754,3386
-76.30135,3385
-85.77935,3373
-80.874084,3364
-80.127545,3362
-104.676944,3361
-71.014739,3361
-77.960781,3348
-80.80116,3337
-87.323337,3328
-90.185059,3327
-90.344494,3326
-95.925382,3326
-86.586362,3325
-85.852734,3309
-96.797686,3306
-113.055525,3304
-97.577981,3302
-73.110414,3293
-80.962304,3284
-82.793463,3278
-78.08157,3273
-83.065415,3269
-85.82678,3266
-97.49383,3263
-119.291228,3262
-121.211131,3247
-116.942092,3240
-76.579722,3239
-86.166464,3225
-87.484189,3219
-104.93836,3216
-80.198787,3203
-104.939925,3192
-98.620166,3181
-84.503624,3176
-75.761299,3172
-122.633579,3168
-84.03598,3155
-147.722461,3123
-73.8589,3122
-83.2933,3108
-84.51657,3107
-81.130222,3103
-81.161823,3098
-77.993893,3087
-115.238282,3086
-77.360126,3079
-85.7119,3079
-106.50815,3071
-84.346389,3067
-147.727413,3061
-106.613815,3058
-87.832349,3056
-90.624044,3049
-90.734175,3049
-113.1506,3044
-81.494833,3044
-101.909275,3043
-84.3543,3040
-149.455255,3038
-105.5839,3016
-91.55896,3003
-84.524061,3000
-117.715066,2999
-82.659241,2989
-120.480456,2974
-80.65847,2967
-73.239648,2963
-106.60468,2957
-98.311692,2955
-66.05251,2954
-107.870219,2953
-83.20932,2951
-84.51713,2949
-119.015009,2947
-119.733,2942
-84.49709,2936
-86.929668,2919
-79.920867,2913
-91.6793,2907
-82.469532,2902
-89.930278,2894
-94.861289,2889
-88.809578,2875
-121.903019,2873
-108.736281,2872
-99.533333,2871
-104.818239,2870
-77.012816,2870
-93.09827,2870
-81.552367,2868
-78.896389,2862
-122.456463,2860
-87.342947,2857
-90.350659,2856
-149.903111,2855
-83.88705,2850
-120.353969,2849
-77.25925,2846
-120.184592,2841
-108.425978,2840
-114.2525,2821
-76.9063,2819
-100.451156,2818
-156.370344,2816
-79.860973,2814
-97.298692,2810
-86.7341,2806
-80.096353,2799
-85.387908,2789
-102.645864,2783
-71.061741,2781
-87.46375,2776
-87.406579,2775
-94.60166,2765
-95.47594,2764
-72.584503,2761
-84.187678,2745
-77.5664,2741
-86.891216,2736
-92.046196,2720
-105.263382,2718
-80.88865,2716
-82.1641,2712
-105.019526,2710
-73.336667,2710
-81.853635,2708
-80.596635,2706
-75.011944,2704
-80.243995,2702
-71.379971,2698
-111.901188,2691
-85.803608,2689
-87.931983,2687
-77.48925,2685
-94.687013,2684
-71.306986,2681
-104.95665,2679
-117.059088,2677
-82.9881,2675
-96.146175,2674
-84.390717,2671
-98.486111,2670
-82.959773,2663
-111.945849,2662
-80.34225,2654
-93.7479,2651
-87.532289,2650
-106.683324,2647
-111.503222,2644
-82.4259,2639
-77.963845,2637
-121.458499,2633
-82.387778,2632
-93.579965,2628
-84.534633,2627
-105.386453,2625
-85.969858,2613
-118.1272,2610
-81.993808,2610
-90.618755,2610
-120.34195,2599
-90.139675,2595
-81.662356,2594
-90.779731,2591
-94.226234,2586
-85.52347,2586
-104.937438,2584
-84.45826,2582
-115.56306,2579
-93.000178,2578
-97.69166,2574
-83.183199,2562
-72.076667,2557
-75.050008,2556
-74.676301,2556
-93.34315,2552
-102.334745,2550
-104.82405,2544
-91.062552,2544
-117.49201,2539
-121.99887,2533
-83.266189,2529
-80.8745,2526
-85.390789,2522
-74.00885,2521
-79.727664,2520
-97.248611,2519
-84.5666,2517
-79.805499,2497
-88.087761,2496
-81.656792,2494
-80.787053,2483
-81.2352,2482
-75.518056,2480
-83.000138,2475
-98.391403,2474
-84.9789,2473
-94.07778,2473
-75.222403,2473
-87.880258,2472
-83.091943,2469
-115.504995,2466
-84.9316,2465
-101.78698,2459
-123.053487,2458
-95.88235,2457
-85.3232,2457
-118.997627,2451
-81.818667,2450
-117.274063,2447
-80.134667,2447
-87.469954,2445
-80.169943,2440
-81.575256,2437
-103.22824,2434
-80.882572,2431
-110.79799,2428
-147.310297,2428
-118.53276,2427
-116.347853,2424
-90.239166,2421
-112.299618,2420
-73.94771,2417
-93.795179,2411
-88.242207,2403
-73.973314,2401
-76.627933,2400
-89.08917,2400
-85.741337,2391
-74.13719,2391
-84.435618,2384
-75.491944,2384
-116.54101,2384
-87.557406,2383
-90.10155,2382
-77.034059,2382
-80.6063,2377
-118.96652,2375
-87.805377,2375
-91.939208,2375
-116.1897,2374
-90.361492,2370
-95.044951,2353
-119.739606,2345
-97.362212,2339
-121.26498,2338
-82.256701,2337
-74.168092,2333
-82.644381,2332
-86.23858,2330
-115.53917,2330
-84.394952,2330
-106.584434,2327
-76.68538,2310
-117.396177,2309
-106.501243,2308
-83.129431,2303
-75.686219,2300
-75.846389,2292
-107.6023,2278
-76.74417,2275
-81.703803,2272
-81.635396,2267
-73.254108,2245
-90.109836,2244
-90.105851,2239
-84.61152,2235
-86.983214,2232
-103.656561,2232
-79.215011,2230
-122.275024,2230
-83.153905,2219
-155.08065,2217
-92.672263,2207
-86.309694,2201
-83.103469,2199
-79.955733,2181
-111.105891,2177
-89.850249,2175
-83.426263,2174
-124.20139,2161
-106.558044,2161
-109.220852,2160
-85.574361,2160
-121.73269,2153
-94.167468,2148
-90.600115,2147
-92.410746,2146
-119.120278,2146
-87.539315,2140
-97.431052,2137
-84.284952,2136
-86.549167,2130
-86.285247,2123
-81.242156,2121
-94.731988,2120
-72.916944,2114
-115.111666,2103
-97.1577,2099
-118.0685,2095
-87.419725,2094
-74.431,2089
-118.205,2088
-85.950227,2088
-111.855443,2087
-66.627249,2082
-86.349438,2082
-92.006318,2080
-82.073333,2078
-117.358121,2074
-105.983056,2065
-155.798067,2064
-114.305334,2062
-117.154841,2058
-97.875084,2058
-72.900935,2054
-75.002405,2049
-110.353,2045
-123.141352,2045
-122.38092,2042
-77.45118,2042
-90.193141,2039
-87.435561,2032
-94.693518,2031
-89.87065,2025
-75.404397,2020
-85.04534,2019
-80.219619,2016
-81.663056,2010
-80.700972,2009
-122.6679,2008
-115.332728,2002
-90.160477,1998
-76.546861,1994
-71.164413,1991
-87.876265,1991
-92.427859,1990
-109.06926,1989
-87.384666,1988
-88.81964,1983
-82.731767,1980
-81.908827,1979
-94.83931,1977
-73.75733,1970
-81.153333,1966
-83.73694,1965
-88.527879,1960
-112.094722,1957
-86.816667,1957
-86.669167,1948
